Name,Index
Aston Villa,0
Southampton,1
Blackburn,2
West Brom,3
Bolton,4
Charlton,5
Man City,6
Fulham,7
Middlesbrough,8
Newcastle,9
Norwich,10
Crystal Palace,11
Portsmouth,12
Birmingham,13
Tottenham,14
Liverpool,15
Chelsea,16
Man United,17
Everton,18
Arsenal,19
Sunderland,20
West Ham,21
Wigan,22
Watford,23
Reading,24
Sheffield United,25
Derby,26
Stoke,27
Hull,28
Burnley,29
Wolves,30
Blackpool,31
QPR,32
Swansea,33
Cardiff,34
Leicester,35
Bournemouth,36
Coventry,37
Crewe,38
Ipswich,39
Gillingham,40
Leeds,41
Plymouth,42
Millwall,43
Preston,44
Rotherham,45
Brighton,46
Nott'm Forest,47
Luton,48
Sheffield Weds,49
Barnsley,50
Colchester,51
Southend,52
Bristol City,53
Scunthorpe,54
Doncaster,55
Peterboro,56
Huddersfield,57
Yeovil,58
Brentford,59
Milton Keynes Dons,60
Torquay,61
Chesterfield,62
Hartlepool,63
Bradford,64
Oldham,65
Tranmere,66
Stockport,67
Walsall,68
Port Vale,69
Wrexham,70
Swindon,71
Carlisle,72
Northampton,73
Leyton Orient,74
Cheltenham,75
Bristol Rvs,76
Hereford,77
Wycombe,78
Exeter,79
Notts County,80
Rochdale,81
Dag and Red,82
Bury,83
Stevenage,84
Crawley Town,85
Shrewsbury,86
Fleetwood Town,87
Burton,88
Boston,89
Oxford,90
Darlington,91
Grimsby,92
Macclesfield,93
Mansfield,94
Chester,95
Rushden & D,96
Kidderminster,97
Lincoln,98
Cambridge,99
Barnet,100
Accrington,101
Morecambe,102
Aldershot,103
AFC Wimbledon,104
York,105
Newport County,106
